Quotazioni Fantacalcio Stagione 2023 24,,,,,,,,,,,,
Id,R,RM,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M
2815,P,Por,Terracciano,Fiorentina,19,10,9,19,10,9,55,55
2428,P,Por,Sommer,Inter,18,15,3,18,15,3,95,95
5876,P,Por,Di Gregorio,Monza,18,12,6,18,12,6,66,66
453,P,Por,Szczesny,Juventus,17,15,2,17,15,2,90,90
133,P,Por,Skorupski,Bologna,15,10,5,15,10,5,47,47
2134,P,Por,Falcone,Lecce,15,8,7,15,8,7,25,25
2814,P,Por,Provedel,Lazio,15,16,-1,15,16,-1,57,57
572,P,Por,Meret,Napoli,13,17,-4,13,17,-4,61,61
2170,P,Por,Milinkovic-Savic V.,Torino,13,10,3,13,10,3,45,45
4270,P,Por,Rui Patricio,Roma,12,14,-2,12,14,-2,55,55
4312,P,Por,Maignan,Milan,12,17,-5,12,17,-5,82,82
4957,P,Por,Montipo',Verona,12,7,5,12,7,5,13,13
5116,P,Por,Martinez Jo.,Genoa,11,8,3,11,8,3,25,25
4431,P,Por,Carnesecchi,Atalanta,10,11,-1,10,11,-1,30,30
509,P,Por,Consigli,Sassuolo,9,5,4,9,5,4,15,15
2792,P,Por,Musso,Atalanta,9,3,6,9,3,6,15,15
316,P,Por,Berisha,Empoli,8,1,7,8,1,7,12,12
574,P,Por,Scuffet,Cagliari,8,1,7,8,1,7,1,1
4867,P,Por,Turati,Frosinone,7,5,2,7,5,2,14,14
2211,P,Por,Silvestri,Udinese,6,9,-3,6,9,-3,17,17
2338,P,Por,Costil,Salernitana,6,1,5,6,1,5,1,1
4360,P,Por,Caprile,Empoli,6,7,-1,6,7,-1,5,5
6120,P,Por,Ochoa,Salernitana,5,9,-4,5,9,-4,13,13
2722,P,Por,Ravaglia F.,Bologna,3,1,2,3,1,2,1,1
2845,P,Por,Contini,Napoli,3,1,2,3,1,2,1,1
6462,P,Por,Okoye,Udinese,3,1,2,3,1,2,1,1
3,P,Por,Radunovic,Cagliari,2,8,-6,2,8,-6,10,10
4,P,Por,Sportiello,Milan,2,1,1,2,1,1,2,2
610,P,Por,Gollini,Napoli,2,1,1,2,1,1,1,1
41,P,Por,Mirante,Milan,1,1,0,1,1,0,1,1
159,P,Por,Sepe,Lazio,1,1,0,1,1,0,1,1
188,P,Por,Leali,Genoa,1,1,0,1,1,0,1,1
217,P,Por,Lamanna,Monza,1,1,0,1,1,0,1,1
218,P,Por,Perin,Juventus,1,1,0,1,1,0,5,5
219,P,Por,Sommariva,Genoa,1,1,0,1,1,0,1,1
510,P,Por,Pegolo,Sassuolo,1,1,0,1,1,0,1,1
511,P,Por,Perilli,Verona,1,1,0,1,1,0,1,1
543,P,Por,Padelli,Udinese,1,1,0,1,1,0,1,1
673,P,Por,Perisan,Empoli,1,2,-1,1,2,-1,1,1
761,P,Por,Audero,Inter,1,1,0,1,1,0,1,1
1926,P,Por,Di Gennaro,Inter,1,1,0,1,1,0,1,1
1930,P,Por,Pinsoglio,Juventus,1,1,0,1,1,0,1,1
1946,P,Por,Aresti,Cagliari,1,1,0,1,1,0,1,1
1947,P,Por,Fiorillo,Salernitana,1,1,0,1,1,0,1,1
2178,P,Por,Cragno,Sassuolo,1,4,-3,1,4,-3,3,3
2294,P,Por,Cerofolini,Frosinone,1,1,0,1,1,0,1,1
2297,P,Por,Rossi F.,Atalanta,1,1,0,1,1,0,1,1
2799,P,Por,Frattali,Frosinone,1,1,0,1,1,0,1,1
4351,P,Por,Brancolini,Lecce,1,1,0,1,1,0,1,1
4491,P,Por,Berardi A.,Verona,1,1,0,1,1,0,1,1
4525,P,Por,Gemello,Torino,1,1,0,1,1,0,1,1
5304,P,Por,Boer,Roma,1,1,0,1,1,0,1,1
5822,P,Por,Bagnolini,Bologna,1,1,0,1,1,0,1,1
5841,P,Por,Svilar,Roma,1,1,0,1,1,0,1,1
5853,P,Por,Sorrentino A.,Monza,1,1,0,1,1,0,1,1
6184,P,Por,Martinelli T.,Fiorentina,1,1,0,1,1,0,1,1
6210,P,Por,Popa,Torino,1,1,0,1,1,0,1,1
6234,P,Por,Stubljar,Empoli,1,1,0,1,1,0,1,1
6255,P,Por,Gori,Monza,1,1,0,1,1,0,1,1
6403,P,Por,Christensen O.,Fiorentina,1,3,-2,1,3,-2,3,3
6406,P,Por,Borbei,Lecce,1,1,0,1,1,0,1,1
6482,P,Por,Mandas,Lazio,1,1,0,1,1,0,1,1
6505,P,Por,Nava,Milan,1,1,0,1,1,0,1,1
6509,P,Por,Gasperini T.,Bologna,1,1,0,1,1,0,1,1
6523,P,Por,Samooja,Lecce,1,1,0,1,1,0,1,1
254,D,E,Dimarco,Inter,24,19,5,24,18,6,115,100
5513,D,E,Dumfries,Inter,19,12,7,18,11,7,85,85
2724,D,Dc,Buongiorno,Torino,17,11,6,17,11,6,60,60
513,D,Dc,Acerbi,Inter,16,11,5,16,11,5,42,42
2816,D,Dd;E,Di Lorenzo,Napoli,16,18,-2,16,18,-2,90,90
1852,D,E,Spinazzola,Roma,15,10,5,14,9,5,31,31
4751,D,Dc,Tomori,Milan,15,13,2,15,13,2,64,64
5323,D,Dc,Martinez Quarta,Fiorentina,15,6,9,15,6,9,28,28
2788,D,Dc,Bremer,Juventus,14,13,1,14,13,1,75,75
4292,D,Ds;E,Hernandez T.,Milan,14,17,-3,14,17,-3,100,100
2525,D,Dd;Dc,Darmian,Inter,13,11,2,12,13,-1,34,40
4952,D,Dc,Monterisi,Frosinone,13,1,12,13,1,12,14,14
5365,D,Dd;Dc,Dragusin,Genoa,13,6,7,13,7,6,35,40
5831,D,Dc,Gatti,Juventus,13,6,7,13,6,7,47,47
5877,D,E,Carlos Augusto,Inter,13,17,-4,13,17,-4,27,27
4426,D,Dd;E,Toljan,Sassuolo,12,6,6,12,6,6,13,13
252,D,Ds;E,Biraghi,Fiorentina,11,10,1,11,10,1,31,28
2296,D,Dc,Mancini,Roma,11,11,0,11,11,0,35,35
2640,D,Ds;Dc,Kolasinac,Atalanta,11,9,2,11,10,1,30,35
4945,D,Ds;E,Calafiori,Bologna,11,4,7,11,4,7,27,27
5354,D,Ds;E,Ruggeri,Atalanta,11,3,8,12,4,8,33,33
5514,D,Ds;Dc,Vasquez,Genoa,11,4,7,10,5,5,11,11
5520,D,Dd;Ds;E,Cambiaso,Juventus,11,5,6,12,6,6,34,40
322,D,Dc,De Vrij,Inter,10,6,4,10,6,4,18,18
357,D,Dd;E,Calabria,Milan,10,9,1,10,9,1,29,29
2006,D,Dd;E,Lirola,Frosinone,10,3,7,10,3,7,13,13
2169,D,Ds;Dc,Rodriguez R.,Torino,10,8,2,10,9,1,20,25
2252,D,Ds;Dc,Marchizza,Frosinone,10,5,5,9,6,3,23,28
4237,D,Dd;Ds;Dc,Danilo,Juventus,10,15,-5,10,18,-8,36,46
4530,D,Ds;E,Kyriakopoulos,Monza,10,9,1,10,9,1,33,33
6041,D,Dc,Schuurs,Torino,10,14,-4,10,14,-4,10,10
2120,D,Dc,Bastoni,Inter,9,13,-4,9,13,-4,35,35
2653,D,Ds;E,Lykogiannis,Bologna,9,5,4,9,5,4,14,14
5812,D,Dd;E,Terracciano F.,Verona,9,3,6,9,3,6,23,23
6066,D,Dd;Dc,Posch,Bologna,9,16,-7,9,18,-9,30,35
6217,D,Dc,Bisseck,Inter,9,4,5,9,4,5,6,6
6230,D,Dc,Dossena,Cagliari,9,6,3,9,6,3,15,15
6235,D,Dd;Ds;E,Kayode,Fiorentina,9,1,8,8,2,6,25,25
76,D,Dc,Romagnoli S.,Frosinone,8,5,3,8,5,3,10,10
487,D,Dd;E,De Silvestri,Bologna,8,2,6,8,2,6,8,8
787,D,Dc,Djimsiti,Atalanta,8,7,1,8,7,1,17,20
2016,D,Dc,Fazio,Salernitana,8,2,6,8,2,6,2,2
2263,D,Dd;E,Lazzari,Lazio,8,5,3,8,5,3,28,28
5847,D,Dc,Bijol,Udinese,8,9,-1,8,9,-1,21,21
5848,D,Dd;E,Ebosele,Udinese,8,4,4,8,4,4,22,22
6202,D,Dc,Beukema,Bologna,8,6,2,8,6,2,25,25
6220,D,Dd;E,Kristensen,Roma,8,9,-1,8,9,-1,25,25
327,D,Dd;Dc,Patric,Lazio,7,5,2,7,6,1,20,20
460,D,Dc,Romagnoli,Lazio,7,13,-6,7,13,-6,35,35
464,D,Dd;Ds;E,Florenzi,Milan,7,3,4,7,4,3,5,7
554,D,E,Zappacosta,Atalanta,7,15,-8,7,14,-7,30,25
791,D,Dd;Ds;E,Sabelli,Genoa,7,4,3,7,5,2,12,12
2180,D,Dd;E,Karsdorp,Roma,7,2,5,7,2,5,20,20
2285,D,Dc,Bani,Genoa,7,3,4,7,3,4,9,9
4177,D,Dd;Dc,Pavard,Inter,7,14,-7,7,15,-8,34,40
4245,D,Dc,Smalling,Roma,7,15,-8,7,15,-8,22,22
4317,D,Dc,N'dicka,Roma,7,9,-2,7,9,-2,25,25
4385,D,E,Lazaro,Torino,7,4,3,7,4,3,13,13
4409,D,Dc,Rrahmani,Napoli,7,14,-7,7,14,-7,31,31
4461,D,Dd;E,Zappa,Cagliari,7,6,1,7,6,1,21,21
4502,D,Ds;E,Gallo,Lecce,7,5,2,7,5,2,14,14
4887,D,Dd;E,Bellanova,Torino,7,8,-1,7,8,-1,29,29
4958,D,Ds;Dc,Caldirola,Monza,7,7,0,7,8,-1,10,12
4982,D,Dc,Erlic,Sassuolo,7,5,2,7,5,2,15,15
5239,D,Dc,Llorente D.,Roma,7,6,1,7,6,1,25,25
5526,D,Dc,Scalvini,Atalanta,7,9,-2,7,9,-2,31,31
5555,D,Ds;E,Kamara H.,Udinese,7,6,1,7,6,1,13,13
5739,D,Dd;Dc,De Winter,Genoa,7,3,4,7,3,4,6,8
5750,D,Dc,Ostigard,Napoli,7,4,3,7,4,3,15,15
5867,D,Dd;E,Gendrey,Lecce,7,6,1,7,6,1,16,16
6042,D,Dc,Lucumi',Bologna,7,7,0,7,7,0,14,14
6148,D,Ds;E,Kristiansen,Bologna,7,6,1,7,6,1,22,22
253,D,Dd;Ds;Dc,D'ambrosio,Monza,6,7,-1,6,9,-3,18,20
294,D,Dc,Rugani,Juventus,6,3,3,6,3,3,20,20
697,D,E,Cuadrado,Inter,6,9,-3,6,8,-2,15,15
4378,D,Ds;Dc,Ranieri L.,Fiorentina,6,5,1,6,6,0,17,20
4421,D,Ds;E,Augello,Cagliari,6,5,1,6,5,1,11,11
5067,D,E,Bakker,Atalanta,6,12,-6,2,11,-9,7,7
5480,D,Dd;E,Ebuehi,Empoli,6,11,-5,6,11,-5,13,15
5481,D,Dd;Ds;E,Mazzocchi,Salernitana,6,12,-6,7,14,-7,24,30
5603,D,Dc,Pongracic,Lecce,6,5,1,6,5,1,15,15
5677,D,Dc,Perez N.,Udinese,6,9,-3,6,9,-3,16,16
5835,D,Dd;Dc,Baschirotto,Lecce,6,10,-4,6,11,-5,26,30
5838,D,Dd;Ds;E,Birindelli,Monza,6,5,1,6,6,0,8,10
6231,D,Ds;E,Azzi,Cagliari,6,5,1,6,5,1,9,9
393,D,Dc,Luperto,Empoli,5,8,-3,5,8,-3,16,16
2164,D,Dc,Milenkovic,Fiorentina,5,10,-5,5,10,-5,25,25
2188,D,Dd;Ds;E,Marusic,Lazio,5,7,-2,5,8,-3,19,24
4263,D,Dc,Kabasele,Udinese,5,5,0,5,5,0,5,5
4433,D,Dd;Ds;E,Zortea,Atalanta,5,3,2,6,4,2,4,5
4897,D,Dc,Pirola,Salernitana,5,5,0,5,5,0,14,14
4904,D,Dc,Mari',Monza,5,9,-4,5,9,-4,26,26
4925,D,Ds;Dc,Carboni A.,Monza,5,3,2,5,4,1,3,4
4994,D,E,Vojvoda,Torino,5,6,-1,5,5,0,16,12
5532,D,Ds;E,Bradaric,Salernitana,5,7,-2,5,7,-2,14,14
5695,D,Ds;E,Haps,Genoa,5,2,3,5,2,3,13,13
5840,D,Ds;E,Olivera,Napoli,5,7,-2,5,7,-2,20,20
6046,D,Dc,Hien,Atalanta,5,8,-3,5,8,-3,23,23
6238,D,Dd;Ds;Dc,Oyono,Frosinone,5,1,4,5,1,4,19,25
6256,D,Dd;E,Ferreira J.,Udinese,5,1,4,5,1,4,8,8
6257,D,Ds;E,Dorgu,Lecce,5,1,4,5,1,4,20,20
6396,D,Dc,Natan,Napoli,5,9,-4,5,9,-4,25,25
140,D,Dd;Ds;E,Hysaj,Lazio,4,7,-3,4,8,-4,17,22
142,D,Ds;E,Mario Rui,Napoli,4,10,-6,4,10,-6,25,25
256,D,Ds;Dc,Juan Jesus,Napoli,4,5,-1,4,6,-2,17,20
729,D,Dd;E,Pereira P.,Monza,4,1,3,4,1,3,1,1
2130,D,E,Hateboer,Atalanta,4,7,-3,4,6,-2,15,10
2728,D,Ds;E,Pellegrini Lu.,Lazio,4,4,0,4,4,0,8,8
2769,D,Dc,Magnani,Verona,4,3,1,4,3,1,4,4
4432,D,Dc,Okoli,Frosinone,4,2,2,4,2,2,13,13
4493,D,Dc,Dawidowicz,Verona,4,4,0,4,4,0,5,5
5010,D,Dc,Ismajli,Empoli,4,5,-1,4,5,-1,10,10
5449,D,Ds;E,Parisi,Fiorentina,4,8,-4,4,8,-4,20,20
5509,D,Ds;E,Vina,Sassuolo,4,4,0,4,4,0,13,13
5678,D,E,Holm,Atalanta,4,10,-6,4,9,-5,10,10
5833,D,Dc,Gila,Lazio,4,1,3,4,1,3,2,2
5851,D,Ds;E,Doig,Verona,4,11,-7,4,11,-7,18,20
6055,D,Dc,Thiaw,Milan,4,10,-6,4,10,-6,24,25
6211,D,Ds;E,Zemura,Udinese,4,5,-1,4,5,-1,16,16
6426,D,Dd;E,Pedersen,Sassuolo,4,7,-3,4,7,-3,10,10
6485,D,Dc,Kristensen T.,Udinese,4,2,2,4,2,2,9,9
6521,D,Dc,Simic J.,Milan,4,1,3,4,1,3,1,1
418,D,Dc,Goldaniga,Cagliari,3,3,0,3,3,0,8,8
581,D,Dd;E,Faraoni,Verona,3,9,-6,3,9,-6,17,17
662,D,Ds;Dc,Alex Sandro,Juventus,3,6,-3,3,7,-4,12,16
695,D,Dc,Toloi,Atalanta,3,9,-6,3,9,-6,21,21
1895,D,Dc,Ferrari G.,Sassuolo,3,4,-1,3,4,-1,10,10
2104,D,Dd;E,Bereszynski,Empoli,3,3,0,3,3,0,7,7
2593,D,Ds;E,Martin,Genoa,3,8,-5,3,8,-5,13,13
2633,D,Dc,Kjaer,Milan,3,4,-1,3,4,-1,12,13
4374,D,Dc,Walukiewicz,Empoli,3,3,0,3,3,0,4,4
5316,D,Ds;Dc,Amione,Verona,3,3,0,4,4,0,5,6
5332,D,Ds;E,Bastoni S.,Empoli,3,8,-5,3,8,-5,12,12
5498,D,Dc,Casale,Lazio,3,10,-7,3,10,-7,26,26
5718,D,Dc,Viti,Sassuolo,3,6,-3,3,6,-3,7,7
5804,D,Ds;E,Cacace,Empoli,3,3,0,3,3,0,12,12
6047,D,Dd;E,Ehizibue,Udinese,3,5,-2,3,5,-2,6,6
6438,D,Dd;Dc,Hatzidiakos,Cagliari,3,5,-2,3,5,-2,7,7
226,D,Dc,Izzo,Monza,2,8,-6,2,8,-6,12,12
660,D,Dc,Gyomber,Salernitana,2,6,-4,2,6,-4,7,7
2192,D,Dc,Bonifazi,Bologna,2,3,-1,2,3,-1,3,3
2869,D,Dc,Djidji,Torino,2,6,-4,2,6,-4,7,7
4210,D,Dc,Mina,Fiorentina,2,8,-6,2,8,-6,9,9
4657,D,Dd;E,Celik,Roma,2,3,-1,2,3,-1,7,5
4934,D,Dc,Lovato,Salernitana,2,4,-2,2,4,-2,6,6
4976,D,Dd;Dc,Kalulu,Milan,2,7,-5,2,8,-6,12,12
5527,D,Dd;E,Zanoli,Napoli,2,4,-2,2,4,-2,6,6
5686,D,E,Soppy,Torino,2,2,0,2,2,0,3,3
5691,D,Dc,Zima,Torino,2,3,-1,2,3,-1,4,4
5701,D,Dc,Obert,Cagliari,2,5,-3,2,5,-3,6,6
5747,D,Dc,Tressoldi,Sassuolo,2,5,-3,2,5,-3,9,9
5748,D,Dd;E,Hefti,Genoa,2,3,-1,2,3,-1,4,4
5757,D,Dc,Cittadini,Monza,2,3,-1,2,3,-1,4,4
5885,D,Dd;E,Dodo',Fiorentina,2,8,-6,2,8,-6,10,10
6023,D,Dc,Guessand A.,Udinese,2,1,1,2,1,1,1,1
6028,D,Dd;Dc,Bronn,Salernitana,2,2,0,2,2,0,3,3
6189,D,Dd;E,Missori,Sassuolo,2,1,1,2,1,1,1,1
6411,D,Dc,Mateus Lusuardi,Frosinone,2,1,1,2,1,1,1,1
6444,D,Dc,Bonfanti,Atalanta,2,1,1,2,1,1,1,1
6464,D,Dc,Wieteska,Cagliari,2,5,-3,2,5,-3,7,7
6465,D,Ds;Dc,Touba,Lecce,2,3,-1,2,3,-1,5,5
6474,D,Dc,Sazonov,Torino,2,3,-1,2,3,-1,4,4
49,D,Ds;Dc,Masina,Udinese,1,6,-5,2,7,-5,7,8
139,D,Dc,Dermaku,Lecce,1,1,0,1,1,0,1,1
144,D,Dc,Tonelli,Empoli,1,1,0,1,1,0,2,2
358,D,Dd;Ds;E,De Sciglio,Juventus,1,3,-2,1,3,-2,6,6
454,D,Dc,Capradossi,Cagliari,1,1,0,1,1,0,1,1
770,D,Ds;E,Pezzella Giu.,Empoli,1,5,-4,1,5,-4,5,5
2174,D,Dd;Ds;E,Venuti,Lecce,1,4,-3,1,5,-4,7,7
2181,D,Dc,Palomino,Atalanta,1,7,-6,1,7,-6,8,8
2446,D,Dd;Dc,Donati,Monza,1,1,0,1,1,0,3,3
2737,D,Dc,Bettella,Monza,1,1,0,1,1,0,1,1
2758,D,Dc,Gunter,Verona,1,4,-3,1,4,-3,4,4
4495,D,Dc,Kumbulla,Roma,1,3,-2,1,3,-2,3,3
4891,D,Dc,Soumaoro,Bologna,1,4,-3,1,4,-3,5,5
5406,D,Dd;E,Di Pardo,Cagliari,1,2,-1,1,2,-1,3,3
5424,D,Dd;Dc,Amey,Bologna,1,1,0,1,1,0,1,2
5554,D,Dd;Dc,Daniliuc,Salernitana,1,3,-2,1,3,-2,4,5
5764,D,Dc,Coppola D.,Verona,1,2,-1,1,2,-1,2,2
5856,D,Dd;E,Sambia,Salernitana,1,4,-3,1,4,-3,5,5
5994,D,Ds;Dc,Ebosse,Udinese,1,3,-2,1,4,-3,3,4
6039,D,Ds;Dc,Cabal,Verona,1,3,-2,1,4,-3,4,5
6056,D,Dc,Guarino,Empoli,1,1,0,1,1,0,2,2
6149,D,Ds;E,Carboni F.,Monza,1,1,0,1,1,0,1,1
6223,D,Dc,Smajlovic,Lecce,1,1,0,1,1,0,1,1
6244,D,Dc,Matturro,Genoa,1,1,0,1,1,0,2,2
6245,D,Dd;Dc,Vogliacco,Genoa,1,5,-4,2,6,-4,4,4
6253,D,Dc,N'guessan,Torino,1,1,0,1,1,0,1,1
6407,D,Dd;Ds;E,Corazza,Bologna,1,1,0,1,1,0,5,8
6430,D,Dc,Kalaj,Frosinone,1,1,0,1,1,0,1,1
6432,D,Dd;Ds;E,Pierozzi,Fiorentina,1,1,0,1,2,-1,2,3
6433,D,Dc,Huijsen,Juventus,1,1,0,1,1,0,1,1
6460,D,Dc,Pellegrino,Milan,1,1,0,1,1,0,1,1
6495,D,Dc,Comuzzo,Fiorentina,1,1,0,1,1,0,1,1
6496,D,Ds;E,Bartesaghi,Milan,1,1,0,1,1,0,1,1
2194,C,M;C,Calhanoglu,Inter,30,16,14,31,18,13,125,175
2423,C,T;A,Pulisic,Milan,29,18,11,29,17,12,160,160
5800,C,T;A,Gudmundsson A.,Genoa,28,14,14,28,13,15,110,110
5878,C,C;T,Colpani,Monza,26,9,17,26,9,17,80,80
367,C,C;T,Bonaventura,Fiorentina,25,14,11,25,14,11,78,78
536,C,W,Politano,Napoli,25,14,11,24,13,11,85,85
332,C,W,Candreva,Salernitana,24,15,9,24,14,10,50,50
5685,C,C;T,Koopmeiners,Atalanta,23,24,-1,23,24,-1,74,74
5858,C,C;T,Ferguson,Bologna,23,17,6,23,18,5,80,80
2529,C,C;T,Mkhitaryan,Inter,22,13,9,22,13,9,68,68
2085,C,C;T,Luis Alberto,Lazio,20,21,-1,20,22,-2,61,61
2167,C,W,Orsolini,Bologna,20,21,-1,20,20,0,74,74
5792,C,C;T,Ederson D.s.,Atalanta,20,10,10,20,10,10,65,65
